"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Il18bp",5.49338801242372e-17,0.993303010099574,1,0.5,1.33961760070965e-12
"Tmem258",1.02379677503806e-16,-0.763787069400476,1,1,2.49663081560782e-12
"Ost4",1.50543679830769e-16,-0.826788230189054,1,1,3.67115817635314e-12
"Gbp3",1.99983275189057e-16,2.0001698061577,1,1,4.87679214876035e-12
"Rpl37a",2.37691846131449e-16,-0.672025833575994,1,1,5.79635335976153e-12
"Irf9",4.31180525636507e-16,0.998821108898173,1,1,1.05147682981718e-11
"Irgm2",6.88796956519687e-16,0.901650365931168,1,1,1.67970025816891e-11
"Rps15a",1.71405094010109e-15,-0.629992153180054,1,1,4.17988462253051e-11
"Parp12",1.86593551440244e-15,1.07499755882626,1,1,4.5502703454218e-11
"Ifit3b",3.3770770543819e-15,3.24210006296125,1,0.5,8.23534010481571e-11
"Oas1a",5.35056885077753e-15,1.06314169646137,1,0.75,1.30478971995061e-10
"Ckap2",9.33836592279784e-15,0.864341287620985,1,1,2.27725391393348e-10
"Ifi44",9.90379628396216e-15,2.59152017108683,1,1,2.41513976180701e-10
"Phf11d",1.4451796162646e-14,2.48039727709338,1,1,3.52421501222285e-10
"Trim34a",1.64217164183551e-14,0.876150394456507,1,1,4.00459976578007e-10
"Brd1",1.81334664244716e-14,-0.658663216572508,1,1,4.42202712227165e-10
"Snhg8",1.90297867844282e-14,-0.666552843837235,1,1,4.64060380525065e-10
"Nusap1",3.59908837412486e-14,0.975190231053124,1,1,8.77673690914088e-10
"B2m",4.39285727522239e-14,2.535209269732,1,1,1.07124217513573e-09
"Oasl2",6.15701533074558e-14,2.46711309288532,1,1,1.50144975855562e-09
"Nmi",7.01356241299906e-14,1.10327204096339,1,1,1.71032733003395e-09
"Ly6e",8.27778756874719e-14,1.30136284967903,1,1,2.01862127651469e-09
"Rsad2",1.02634877785354e-13,3.24641743018435,1,0.75,2.50285412967365e-09
"Usp18",1.40698548083719e-13,2.3040549903146,1,1,3.43107479356957e-09
"Uqcr11",1.60631845011627e-13,-0.737807502445806,1,1,3.91716817245355e-09
"Serpinb2",2.90504878889988e-13,0.86529425524833,1,1,7.08425197661126e-09
"Mitd1",3.41970300285781e-13,1.06892250665562,1,1,8.33928774276906e-09
"Rpl34",6.72355172218352e-13,-0.602452033621401,1,1,1.63960532297167e-08
"Adar",1.03374599700251e-12,0.76519720941051,1,1,2.52089298829031e-08
"Romo1",2.5611598240503e-12,-0.660466632994675,1,1,6.24564434692907e-08
"Fmc1",2.74163159868708e-12,-0.599024688511968,1,1,6.68574281655832e-08
"Sp110",2.75813484425026e-12,0.732027995337279,1,1,6.72598763118869e-08
"Rpl30",2.85599042755842e-12,-0.534784972109869,1,1,6.96461825664397e-08
"Kif23",3.25580915566846e-12,0.747385101388769,1,1,7.9396162070131e-08
"Plscr2",4.35125666943746e-12,0.823761430133008,1,1,1.06109745140902e-07
"Rps26",6.52724838332722e-12,-0.637749716368941,1,1,1.59173479075817e-07
"H2-T23",6.98665871307407e-12,2.24971027243481,1,1,1.70376659377024e-07
"Smc4",8.11866220821902e-12,0.923589786303655,1,1,1.97981696609629e-07
"Incenp",8.79542101089749e-12,0.811107339556762,1,1,2.14485136771746e-07
"Rps29",9.36817122837337e-12,-0.489149390023449,1,1,2.28452223575113e-07
"Tgtp1",1.0211126186584e-11,0.782836003369527,1,0.75,2.49008523186037e-07
"Stmn1",1.02808983955144e-11,1.28975786427945,1,1,2.50709988273014e-07
"Cops9",1.19662761812335e-11,-0.695974057807304,1,1,2.9180961095556e-07
"Dpm3",1.20228150776935e-11,-0.676562649787041,1,1,2.93188368484633e-07
"Rpl36a",1.22450252077677e-11,-0.630965002478174,1,1,2.98607184716624e-07
"Dbf4",1.7453004865474e-11,0.656011788451085,1,1,4.2560897664945e-07
"Lars2",1.79431661655016e-11,1.10875418098901,1,1,4.37562050111921e-07
"Ncoa7",1.83427047720736e-11,0.894711659788584,1,1,4.47305198571788e-07
"Ifih1",1.88637252558396e-11,1.54637087519555,1,1,4.60010804088905e-07
"Psmb10",1.90065867211881e-11,1.7551027973287,1,1,4.63494623782892e-07
"Lmnb1",2.09064038944405e-11,0.867063502763458,1,1,5.09823565369827e-07
"Muc1",2.20739279357437e-11,0.871886935085095,1,1,5.38294806641046e-07
"Parp14",2.43255977153495e-11,1.67787940778615,1,1,5.93204025886512e-07
