"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ndufa7",5.96384368941094e-41,-0.524431608420432,1,1,1.45434292209975e-36
"Itm2b",7.10023724379241e-41,-0.522979055609905,1,1,1.73146385427122e-36
"Rps10",1.23815251774411e-40,-0.393988352424109,1,1,3.01935872977079e-36
"Oaz1",2.36680629311033e-40,-0.464626351215359,1,1,5.77169382637885e-36
"Ost4",4.11397172751053e-40,-0.691740458789788,1,1,1.00323314547072e-35
"Mgst3",6.35654663801546e-40,-0.419351636063204,1,1,1.55010746314645e-35
"Gapdh",1.74114563878281e-39,-0.491292416254004,1,1,4.24595775473577e-35
"Ndufc2",3.68588500784048e-39,-0.558390058776312,1,1,8.98839918011979e-35
"Atpif1",8.64736827840519e-39,-0.437677004697137,1,1,2.10874722837189e-34
"Atp5e",8.8204619390211e-39,-0.465124518407516,1,1,2.15095784844969e-34
"Ppib",9.13492223885598e-39,-0.647870723233386,1,1,2.22764213716742e-34
"Cox5b",1.46172700915445e-38,-0.455508305556913,1,1,3.56456748452405e-34
"Rps4x",1.56156365575218e-38,-0.437653569532147,1,1,3.80802913091726e-34
"Rpl30",2.51296669116722e-38,-0.378707799896728,1,1,6.12812057308039e-34
"Cfl1",2.64810655216479e-38,-0.644144178428241,1,1,6.45767263810905e-34
"Rps26",3.78162357768515e-38,-0.499387810710197,1,1,9.22186725654301e-34
"Eif1",3.96219879429186e-38,-0.376300239585034,1,1,9.66221797976012e-34
"Rps11",4.50793189648787e-38,-0.435538453019777,1,1,1.09930427227753e-33
"Scgb1c1",5.34214736449434e-38,3.91854504229767,1,0.25,1.30273605630559e-33
"Rps3",6.28661052395953e-38,-0.415262467209223,1,1,1.53305284237277e-33
"Rpl35a",7.82093299482646e-38,-0.565238051851183,1,1,1.90721272011838e-33
"Calm1",1.18470777310293e-37,-0.218378290304448,1,1,2.88902837548879e-33
"Uqcrh",1.31131047620866e-37,-0.434882696804164,1,1,3.19776172728244e-33
"Elob",1.71656188891509e-37,-0.42345644338641,1,1,4.18600782230835e-33
"Ndufa4",2.05088285262943e-37,-0.471291023608126,1,1,5.00128292442214e-33
"Psmb3",2.65874157385824e-37,-0.583391013727248,1,1,6.48360720201071e-33
"Mpc1",5.53338708346965e-37,-0.490203617755619,1,1,1.34937177417491e-32
"Snrpg",3.46308811969222e-36,-0.63832720131623,1,1,8.44508668868144e-32
"Sec61g",4.24342016851175e-36,-0.60276334385561,1,1,1.03480044229328e-31
"Cox7c",6.88652866047212e-36,-0.395754268628593,1,1,1.67934887914273e-31
"Selenof",1.50970643889568e-35,-0.579394302978819,1,1,3.681570121891e-31
"Ndufa13",1.61244572282873e-35,-0.465069497882875,1,1,3.93211013969015e-31
"1810037I17Rik",2.30856400783318e-35,-0.555428323842999,1,1,5.62966418950198e-31
"Cyp2a5",2.61027693029014e-35,1.90253370716948,1,0.5,6.36542132220553e-31
"Slc25a3",2.76326947277949e-35,-0.460005709280115,1,1,6.73850893632006e-31
"H3f3a",3.44602723163926e-35,-0.399488673954401,1,1,8.40348200707551e-31
"Cox7a2",7.31642378498784e-35,-0.43206883079592,1,1,1.78418310420713e-30
"Atp5mpl",8.04526863962179e-35,-0.526167737239578,1,1,1.96191921045817e-30
